fixtureid,report,createdby,createdate
657,"<p>BWCC 291-4 40 overs &nbsp; The Lee CC 145 AO 39 overs</p> <p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">In sport there the odd occasions where a game## be it football or cricket etc## are so one sided that one could use words such as a &lsquo;destruction&rsquo;## or a &lsquo;pasting&rsquo;. Notable recent examples that spring to mind immediately would be the demolition of Germany in Berlin by the England football team in the run up to the 2002 world cup and the hammering handed out by Australia to American Samoa in the qualifiers for the same tournament. The score on this occasion was a scarcely believable 36-0!! Whilst Ballinger&rsquo;s comprehensive victory over The Lee on the 8<sup>th</sup> August was not world record breaking it was certainly record breaking: highest first wicket partnership and biggest winning margin for starters. Anyway to the game&hellip; (the author of this report was not actually at the game so please allow for some poetic license!).</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">It was a fine day as the mighty men of Ballinger drove the short distance to the picturesque and pleasant ground which is home to The Lee. This was billed as a battle of the heavyweights and even had the usually reserved Daily Telegraph columnist salivating at the prospect of such cricketing giant&rsquo;s battle out to the death. Ballinger captain Salisbury## did not comment as he arrived but was whisked off to the changing rooms away from all the hype of the following media circus. The steely expression that engrossed his face however said all that was needed; this was a big game for his experienced side. As the crowd filtered in## the team sheets were handed and Ballinger lined up strongly with Riley making a return to the Sunday side along with Draper making his second (?) appearance of the season. Meanwhile the usual suspects of Hankinson&rsquo;s## Kellock## Maciver and Humphreys made up an awe inspiring line up!</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">&nbsp;</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">With the pitch freshly cut## painted and stumps grounded## play was ready to commence. The Lee won the first battle as they correctly the coin toss and chose to have a bowl in what would be a 40 over win/lose shootout. Opening up for Ballinger were Riley and Draper. Both began slowly but as time went on both found there stride and Ballinger were rocketing along at a very healthy rate with Riley particularly punishing anything that was short and wide. Ballinger were soon past 100 with no real scares and then 150 was pasted too. With the pair serenely progressing on the record books were scrambled and as they edged closer to 200 the record for the first wicket partnership was getting even closer. Inevitably Ballinger did lose a wicket but not however after Riley and Draper wrote themselves into the annals of Ballinger Waggoners history with the highest first wicket partnership ever. It really was a pleasure to watch (for those there!) such fine cricket! The wicket that fell was that of Riley who creamed a cover drive over The Lee in field&hellip; or so he thought. Unfortunately the cover fielder leapt like a salmon 5ft of the ground and plucked it one handed. Amazing. Out for 86 hitting 11 fours and 2 sixes. (Please note I haven&rsquo;t a clue of that is accurate## all I know is Matt was caught!). Anyway 212-1 soon 219-2 as Draper## who had brought his century in style by smashing the ball to the point boundary fell for a magnificent 107 hitting 19 fours and 1 six in the process. Enter Joe Hankinson and Jeremy Hunting. With overs running out Hankinson continued his fine form smashing the bowling all over the place with a very rapid 45 which included 8 fours and 1 six. When Joe fell Kellcok unfortunately could not join the party as he fell for 1 but Jeremy and Jack Maciver took Ballinger to the close without any further loss of the wickets## with Ballinger finishing on a towering 291-4 off their allotted 40 overs.</span>&nbsp;</p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">Following another superb tea from The Lee## Ballinger may well have been excused for starting slowly but were right on the button straight away with the Jack duo bowling fast and straight. Jack Hankinson was his usual economic self whilst Jack Maciver provided a superb exhibition of fast bowling taking 5-20 of his 10 overs; it was no surprise then that he was mobbed by autograph hunters at the end of the game. Stuart MacGowan was also his steady self as he ripped through The Lee&rsquo;s middle order with an expert spell of off spin bowling that claimed 3 wickets in a very economical 7 over spell. The other wicket taker was Salisbury who somehow managed to bore the batsmen into submission! Fallowfield-Smith## Kellock and Joe Hankinson also turned their arms over but to no avail. With 7 wickets being bowled the only catch fell to Paul Humphreys. Whilst I would love to say it involved diving 30 yards to his right and plucking it one handed## something tells it may have been a regulation slip catch! So whilst Ballinger&rsquo;s bowling was exemplary## Morrison (45) and Jones (35) did put up some fighting resilience that was so lacking in The Lee&rsquo;s batting but unfortunately their stand only delayed the inevitable and eventually The Lee were bowled out for 145 in 39 overs## meaning a winning margin of 146 runs## another club record.</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">From what I can see this was a thoroughly professional Ballinger performance against a side that was not a full strength. Two club records were broken and in Danny Draper and Jack Maciver Ballinger had 2 very creditable candidates for man of the match. Well played guys!<span style=""mso-spacerun: yes;"">&nbsp;&nbsp;</span></span></p> </p>",,2010-08-26
659,"<p>BWCC 187-10 37 overs &nbsp; &nbsp;Cublington CC 130 AO 34.4 overs</p> <p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">After last week&rsquo;s demolition of The Lee## Ballinger travelled to Cublington to play their second game of the season against the very friendly people of Cublington. As the team arrived## the ground superb despite the recent heavy rainfall but Ballinger had bigger concerns. Who was their11th man? Gradually the Ballinger rabble and somehow we had a full team.</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">Once the toss had been made Ballinger were put into bat and Paul Humphreys and Will Smith opened up. Unfortunately Paul departed early unluckily having played on. At this point the pitch was not playing too well and the ball was moving all over. Next man Tom Maw and Will began to rebuild for Ballinger. Gradually they took the score on although it did take 8 or so overs for Tom to get off the mark. However with the score on 40 Will edged Cublington&rsquo;s overseas Australian to first slip and Ballinger were once again in trouble. Jeremy Hunting then joined Tom and both started to accumulate runs and soon enough the Ballinger 100 was up. Unfortunately with the score on 133 Tom got bored and tried to smash the ball out of the park and got bowled for a very patient 43## meanwhile Jeremy began to accelerate the Ballinger innings as wickets started to fall regularly at the other end. Eventually Jeremy fell for an excellent 61 and Ballinger subsided to 187 all out of 37 overs## 3 short of their allotted 40. Cublington&rsquo;s stand out bowler was their overseas Westlands who took 4 wickets including a hat-trick.</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">In reply Cublington started very slowly due to some excellent bowling by the young Ballinger attack. Jack Hankinson recorded excellent figures## conceding only 5 runs on his 6.3 overs whilst taking 3 wickets. Mr Cricket Dom Birkby was even more economical## recording figures of 8-3-11-1. An excellent display from Nottingham University&rsquo;s No. 1 Geographer. Whilst Jono Lacey also bowled well it was Joe Hankinson that ripped the heart out of Cublington&rsquo;s innings including the prized wicket of Westlands. Although the Cublington lower order put up some creditable lower order resistance it was the superb bowling of Graham Salisbury and Tom Maw that did for Cublington who end on 130 all out. An excellent victory by 57 runs. The Ballinger machine rumbles on&hellip;</span></p> </p>",,2010-08-26
657,"<p>BWCC 291-4 40 overs &nbsp; The Lee CC 145 AO 39 overs</p> <p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">In sport there the odd occasions where a game## be it football or cricket etc## are so one sided that one could use words such as a &lsquo;destruction&rsquo;## or a &lsquo;pasting&rsquo;. Notable recent examples that spring to mind immediately would be the demolition of Germany in Berlin by the England football team in the run up to the 2002 world cup and the hammering handed out by Australia to American Samoa in the qualifiers for the same tournament. The score on this occasion was a scarcely believable 36-0!! Whilst Ballinger&rsquo;s comprehensive victory over The Lee on the 8<sup>th</sup> August was not world record breaking it was certainly record breaking: highest first wicket partnership and biggest winning margin for starters. Anyway to the game&hellip; (the author of this report was not actually at the game so please allow for some poetic license!).</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">&nbsp;</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">It was a fine day as the mighty men of Ballinger drove the short distance to the picturesque and pleasant ground which is home to The Lee. This was billed as a battle of the heavyweights and even had the usually reserved Daily Telegraph columnist salivating at the prospect of such cricketing giant&rsquo;s battle out to the death. Ballinger captain Salisbury## did not comment as he arrived but was whisked off to the changing rooms away from all the hype of the following media circus. The steely expression that engrossed his face however said all that was needed; this was a big game for his experienced side. As the crowd filtered in## the team sheets were handed and Ballinger lined up strongly with Riley making a return to the Sunday side along with Draper making his second (?) appearance of the season. Meanwhile the usual suspects of Hankinson&rsquo;s## Kellock## Maciver and Humphreys made up an awe inspiring line up!</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">&nbsp;</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">With the pitch freshly cut## painted and stumps grounded## play was ready to commence. The Lee won the first battle as they correctly the coin toss and chose to have a bowl in what would be a 40 over win/lose shootout. Opening up for Ballinger were Riley and Draper. Both began slowly but as time went on both found there stride and Ballinger were rocketing along at a very healthy rate with Riley particularly punishing anything that was short and wide. Ballinger were soon past 100 with no real scares and then 150 was pasted too. With the pair serenely progressing on the record books were scrambled and as they edged closer to 200 the record for the first wicket partnership was getting even closer. Inevitably Ballinger did lose a wicket but not however after Riley and Draper wrote themselves into the annals of Ballinger Waggoners history with the highest first wicket partnership ever. It really was a pleasure to watch (for those there!) such fine cricket! The wicket that fell was that of Riley who creamed a cover drive over The Lee in field&hellip; or so he thought. Unfortunately the cover fielder leapt like a salmon 5ft of the ground and plucked it one handed. Amazing. Out for 86 hitting 11 fours and 2 sixes. (Please note I haven&rsquo;t a clue of that is accurate## all I know is Matt was caught!). Anyway 212-1 soon 219-2 as Draper## who had brought his century in style by smashing the ball to the point boundary fell for a magnificent 107 hitting 19 fours and 1 six in the process. Enter Joe Hankinson and Jeremy Hunting. With overs running out Hankinson continued his fine form smashing the bowling all over the place with a very rapid 45 which included 8 fours and 1 six. When Joe fell Kellcok unfortunately could not join the party as he fell for 1 but Jeremy and Jack Maciver took Ballinger to the close without any further loss of the wickets## with Ballinger finishing on a towering 291-4 off their allotted 40 overs.</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">&nbsp;</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">Following another superb tea from The Lee## Ballinger may well have been excused for starting slowly but were right on the button straight away with the Jack duo bowling fast and straight. Jack Hankinson was his usual economic self whilst Jack Maciver provided a superb exhibition of fast bowling taking 5-20 of his 10 overs; it was no surprise then that he was mobbed by autograph hunters at the end of the game. Stuart MacGowan was also his steady self as he ripped through The Lee&rsquo;s middle order with an expert spell of off spin bowling that claimed 3 wickets in a very economical 7 over spell. The other wicket taker was Salisbury who somehow managed to bore the batsmen into submission! Fallowfield-Smith## Kellock and Joe Hankinson also turned their arms over but to no avail. With 7 wickets being bowled the only catch fell to Paul Humphreys. Whilst I would love to say it involved diving 30 yards to his right and plucking it one handed## something tells it may have been a regulation slip catch! So whilst Ballinger&rsquo;s bowling was exemplary## Morrison (45) and Jones (35) did put up some fighting resilience that was so lacking in The Lee&rsquo;s batting but unfortunately their stand only delayed the inevitable and eventually The Lee were bowled out for 145 in 39 overs## meaning a winning margin of 146 runs## another club record.</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">&nbsp;</span></p> <p class=""MsoNormal""><span style=""mso-ansi-language: EN-GB;"">From what I can see this was a thoroughly professional Ballinger performance against a side that was not a full strength. Two club records were broken and in Danny Draper and Jack Maciver Ballinger had 2 very creditable candidates for man of the match. Well played guys!<span style=""mso-spacerun: yes;"">&nbsp;&nbsp;</span></span></p> </p>",,2010-08-26
687,<p>This was a disappointing end to another excellent season for the 2s. Not only because the rain curtailed the game but the manner in which the team played wasn't to the standards set throughout the summer. In particular the bowling wasn't as good as we have come to expect. Some interesting umpiring plus some wayward bowling meant we bowled 22 wides and 7 no-balls. Basically we gave the visitors another 5 overs to bat.</p> <p>Neave## Waddesdons opener scored an excellent 112 but he was very limited in the shots he could play and most were of the leg-side variety. Unfortunately on a slow pitch all the bowlers gave him plenty of opportunities to practice them. Alex Howe was probably the pick with 2-25 in his 7 overs. Evan Webster took another 4 wickets in what has been an excellent season for him## but even he had to agree that he wasn't quite at his best in this game.</p> <p>Skipper Kerry won the toss and put Waddesdon in on what he thought was likely to be a difficult pitch to bat on. Unfortunately the fact that nearly 900 runs were scored on it last week should have been more of a guide as although slow it played very well. As mentioned above the Ballinger bowlers didn't make the visitors work too hard for their runs. A decent ball from Evan and a sharp catch by Kerry produced the first two wickets but Waddesdons 3rd wicket stand of over 100 took the game away from the home side.</p> <p>260 was always likely to be too many for Ballingers young side but the visitors had been reading about the teams exploits&nbsp;over the last few weeks and weren't going to take any chances.</p> <p>Tim Rix opened up with Max Dugdale and was looking forward to taking a final opportunity of the season to notch a decent score. Unfortunately the visitors umpire had other ideas. Max followed shortly but then an excellent stand between Sebastian Richards(43) and Ben Carlin (34*) which included some very fine shots plus some rather excentric running between the wickets. The demise of Sebastian brought in Ben Dugdale who only lasted a couple of balls before being replaced by the debutant Miles Dugdale. A well struck 4 and a scampered single&nbsp;ensured that Dugdale senior wasn't the lowest scorer in this family battle.</p> <p>Alex Howe replaced Miles and he and Ben were at the crease when the heavens opened. The league rules state that the side batting lose and over for every 3 minutes they game is held up. As the side batting second we were already only going to get 40 overs&nbsp;as opposed to the visitors 45. There is no reduction in the total to chase so therefore at the&nbsp;end of the break we&nbsp;only had 11 overs to chase the total. An unlikely event so the stumps were drawn with the home side on 106-5.</p> <p>It's been a really enjoyable season again&nbsp;with another crop of youngsters coming to the fore and another couple of dads coming out of the wood-work. I would like to thank all those who've helped out over the season especially Veronica Richards for organising the teas and all the ladies for doing the teas. Derek and Tim for taking over when events took me to other places and finally to the grounds team for producing such good pitches.</p> <p>&nbsp;</p> <p>&nbsp;</p> <p>&nbsp;</p>,,2010-08-29
852,<p>It is debatable what was more remarkable about this## BWCC's first match of the 2011 season at Aldenham.&nbsp; Was it the weather? - hot and sunny - very unlike April## when we are used to anything from sleet## gales and general meteorological misery. Was it the fact that no-one can remember Ballinger playing a match on Easter Sunday? Or was it the unexpected outcome of the game?</p> <p>Skipper Ian Davies won the toss## and our batsmen made a steady start with an opening partnership of 54 between Paul Humphreys (38) andWill Smith (18). Andy Thompson (30) carried on the good work## then Max Maciver blitzed an aggressive 37. Ian Davies took ther batting honours with an unbeaten 55## but Aldenham's bowlers kept the batsmen tied down towards the end## and a total of 227-5 when the declaration came looked a few runs short of comfortable.</p> <p>And so it seemed## when Aldenham batted## Ballinger's first four bowlers all went wicketless (though errant line and length## plus a critical dropped catch## contributed to that)## and the first wicket did not fall until the score was 103## in only the 22nd over. Opening bat Monroe then mounted a savage attack## but with the total on 164 and only 34 overs gone## he unaccountably ran himself out for 92. This prompted one of the more remarkable collapses. Bastie took a hat-trick in an extraordinary spell of 5 - 21 (6 of which were no-balls!)## two more batsmen ran themselves out## and their 11th man was found to have gone home## as Aldenham sank from 164-1 to 183 all out.</p> <p>An excellent way to start the season!</p>,,2011-04-26
782,<p>An excellent win for Ballinger by 79 runs gave the U10A's a&nbsp;great start to the season. Beautiful sunshine## although a little on the chilly side. Tractor mended and pitch marked in the nick of time.</p> <p>An eager U10 team## captained by Monty won the toss and chose to bat first. A little reluctant to chase the singles at first## and scored 44 runs off the bat## benefiting from 51 extras and 9 byes given away by High Wycombe. Top run scorers: Henry K (9)## and Hugo E-H (8)## Monty W (8) and James B (8). Final score: 256</p> <p>The boys bowled and fielded really well with some excellent wicket keeping from Hugo. The bowling was accurate## only giving away 16 in extras which was a good start for the first game of the season. The fielding was tight## the backing up excellent## so all the hard work in coaching and practising has really paid off. They never lost their concentration or determination in the field which really put the pressure on the HWCC batsmen## who only scored 19 off the bat and lost 10 wickets. Final score: 177</p> <p>Top bowlers: James B (1 run## 3 wickets## 3 overs); Monty (3&nbsp;runs## 2 wickets## 3 overs) and&nbsp;&nbsp;Louis &amp; Will both bowled 2 for 2 off 2.</p> <p>So a really good win - well done boys! Keep it up. &nbsp;(Wendy H)</p> <p>&nbsp;</p>,,2011-04-28
817,<p>Another sunny day## another win!</p> <p>Pelicans## having won the toss## decided that they didn't fancy batting first on what looked like a Kellock belter## and Ballinger had cruised to an opening partnership of 50 in only 10 overs when Paul Humphreys went LBW for an impressive 43. When comments are made before an innings about the depth of the Ballinger batting## one can guess that the inevitable will ensue - as indeed it did. Six overs later the scoreboard read 64 for 5! Some sensible batting was called for## and was duly delivered by Jeremy Hunting## assisted first by Jamie Kellock## who was determined to prove that his pitch had nothing to do with the earlier clatter of wickets## and then by Ian Davies## with an accomplished 25. Jeremy went on to an extremely well-struck 67## then Bastie (29)and Jack Hankinson went after the bowling to post a final total of 210.</p> <p>Pelicans could make little headway against an extremely accurate opening attack of Andy Thompson and Jack Hankinson. Wickets fell steadily## and Ian Davies joined the fray once Jack's allotted spell was done. Andy finished with 4 for 38 off 13 overs - impressive stuff - and Pelicans subsided to an all-out total of 143.</p> <p>&nbsp;</p> <p>Gerry Hunting</p>,,2011-05-02
774,<p>Unfortunately the availability of only two U15s meant this match had to be conceded</p>,,2011-05-05
799,<p>In our first game of the season## Ballinger acquitted themselves well. &nbsp;Chesham fielded a strong B team for this cup game and put on some good bowling. &nbsp;The top 3## Freddie## Monty and Hamish all batted well albeit a little slowly. &nbsp;Greg hit his first runs on debut. The highlight though was the Sam Peters (also on debut) and Henry Turrell## who came in with the score rate looking a little weak; between then## they put on 43 runs for the last 4 overs; Henry in particular scored a very fast 27 off 16 balls.</p> <p>Ballinger's fielding was very strong; everyone contributed with some dynamic dives. &nbsp;The ball spent a lot of time in the air with some good tight bowling but it never quite went to hand. &nbsp;The team came off rightly satisfied with a good win## albeit in a match which we should always win.</p> <p>&nbsp;</p>,,2011-05-07
800,<p>A missed opportunity. &nbsp;Chasing 119## we were 60 off 10 overs with only 1 wicket down. &nbsp;From this position## Ballinger contrived to score only 31 runs from the last last 9 wickets; whilst disappointed with the result## I was happy with the team performance. &nbsp;Going by form in the Division## Chesham are the side to beat and we were not fielding a full-strength team - missing 4 of our strongest players.&nbsp;</p> <p>Ballinger bowling in general was good. &nbsp;I thinkChesham were surprised by the depth of our bowling as they played out the openners patiently expecting to be able to score freely after this. All of our bowlers caused them problems. &nbsp;Hamish and Reece (on debut) are a good openning pair; Dom gave away just 10 runs and no extra's from his 4 overs## getting one of the two wickets. Greg had a useful spell and then Freddie and Monty arrived late and between them bowled 4 overs for just 10 runs. &nbsp; Fielding let us down this time and the difference between the two sides was the extra's - Ballinger tally being 32 compared to Chesham's 6 - 12 of these extras were 4's behind the wickets. NB Toby kept pretty well taking some difficult leg side balls at pace well - we just need to give him a bit more fielding support behind the stumps.</p> <p>Openning pair again did their job; Freddie (29) and Monty (17) make a good partnership taking every run available - if anything erring towards a little too much risk. Hamish came in and played a quick 22 pushing the run rate along. &nbsp;Then on came County spinner## Sam Rance## giving a masterclass in line and length and Ballinger were suddenly 81 for 8. Playing spinners is definitely a skill which this team is lacking. &nbsp;The only player who was able to cope with spin was Matt O'Kelly## who played a good rear-guard 10 not out and looked strong.</p> <p>&nbsp;</p> <p>&nbsp;</p>,,2011-05-07
853,<p>Rather annoyingly this game coincided with a cub camp## a Y5/Y6 disco and someones party. Therefore from a squad of 30 we couldn't raise a side.</p>,,2011-05-09
854,<p>We were almost at Burnham when the call came through that the ground was water logged. Not surprised considering the amount of rain overnight.</p> <p>Think we need to get Teamer up and runing to save lots of calls and frustration</p>,,2011-05-09
742,<p>BWCC's 2011 league campaign started with a first-ever visit to Potten End## newly promoted to the MBL premier division. A little overnight rain perhaps influenced Ian Davies## successful with the coin## to field first## as the wicket looked as if it might play a few tricks.Not that the first Potten End wicket to fall - first ball## first over - had anything to do with the pitch.The batsman## surprised by a rank Nick Adams full-toss## swatted it straight to an equally surprised Danny Draper (making what we hope will be regular league appearances)## who clung on. There followed a rather extraordinary period in which the normally&nbsp;miserly Nick was given some rough treatment## whilst Andy Thompson opened with five consecutive maidens. With 82 on the board before the 4th wicket fell## Potten End were going along nicely. The introduction of Carlton Siddle changed all that## and 83-3 suddenly became 83-7## with Ballinger's oft-maligned fielders taking some smart catches. A stand of 43 for the 8th wicket hauled Potten End out of the mire## only for Rollo to enter the fray and show how easy bowling really is## with 2 wickets in 9 balls! Which must have been small consolation to Andy## whose analysis of 11 overs## 7 maidens## no wickets for 17 runs was a travesty for such fine## accurate bowling.</p> <p>A target of 138 to win - should be easy?&nbsp; Had Potten End's opening bowlers not&nbsp;both been 18 year olds## and thus restricted to 7 over spells by ECB regulations## things might have been very different. Paul Humphreys (0 in 6 balls) claimed that only a batsman as good as himself would have even got an edge to the ball that did him (such modesty!)## and Danny and Rollo struggled hard to raise the score to 25 before Danny went. Rollo followed with the score on 38## but with&nbsp;the enforced change in bowling## the pressure eased a little. Ian Davies batted well for 32## but the starring role went to Carlton## whose hard-hit 53 not out## coupled with his earlier 4 wickets for 31## capped a fine personal performance. Potten End rang the changes with their attack##but to no avail## as Ballinger emerged winners by 5 wickets.</p> <p>A very welcome opening victory## enhanced by the 3 points gained by having an UMPIRE !! - thanks to Ian Hardy## destined to play for the&nbsp;2nds## whose game had to be called off due to shortage of players## and who preferred to assist the club## rather than indulge in lawn-mowing## shopping## or any other alluring Saturday afternoon activity.</p> <p>&nbsp;</p>,,2011-05-09
783,<p>BWCC U10's won the toss again and chose to bat first. A much more confident batting side this week having worked hard the previous Saturday at calling and running between the wickets. BWCC scored 109 off the bat (although a few byes were accidentally included because I gave our scorer an old style score sheet which omitted a bye line !)</p> <p>Some intelligent batting from several of the boys## and top run scorers Hugo (26) and Monty (20) who batted as the last pair## sealed a very decent score of 309.</p> <p>They were awarded 36 extras in wides and noballs from Beaconsfield bowlers## but lost 6 wickets## which in effect cancelled each other out run-wise.</p> <p>BWCC bowling and fielding wasn't quite as good as the week before (37 extras)## nonetheless they took 9 wickets: Monty## Charlie B## and James Arnold taking 2 wickets each## and a great catch from Simon C. With some good captaining and team work## they pulled their fielding together again towards the end of the match## keeping Beaconsfield's runs down to just 47 off the bat.</p> <p>All in all another good match## and another very good win for Ballinger by 79 runs. Well done!</p>,,2011-05-09
784,<p>Oops! Having had 2 very convincing wins in the last couple of weeks## this match came as a bit of a disppointment to the boys. Electing to bat first## BWCC scored 62 runs off the bat## but lost a total of 12 wickets which inevitably cost them the game. The boys tried to keep the opposition's run-rate down## which they did quite reasonably for a while## but the last two pairs of batmen from GX proved too strong for us## the game ending in defeat for Ballinger. GX scored 98 off the bat## and lost 5 wickets.</p> <p>Ballinger scored 62 off the bat:-</p> <p>Top batsmen: Monty (22 for 0); Matthew Bellamy (13 for 1)</p> <p>Bowlers: Will Hardman (2)## Monty## Theo &amp; James B (1 wicket each)</p>,,2011-05-10
808,"<p><!--StartFragment--><span style=""font-family: Arial;""><span style=""font-size: 12.0px;"">An ultimately easy win to which everyone contributed well. &nbsp;<br />Ballinger won the toss and batted first. &nbsp;Joe Turrell and Zac Bischoff opened. &nbsp;Joe was<span style=""color: #1f497d;""> lbw</span> early playing an uncharacteristic cross bat shot## but then Zac and Freddie Thompson played sensibly in a 30 run partnership. &nbsp;</span></span></p> <p><span style=""font-family: Arial;""><span style=""font-size: 12.0px;"">Unexpectedly## 3 quick wickets followed; but George Cooke joined Freddie and Ballinger then prospered again## passing the 100## with both batsmen retired after passing 30. &nbsp;Angus Denison-Smith (22) and Monty Weatherall (18 not out) carried on the good work## and we closed on 151 off our 20 overs. &nbsp;Overall## those who played straight preserved their wickets and scored runs## but those who played across the line got out. &nbsp;&nbsp;&nbsp;&nbsp;</span></span></p> <p><span style=""font-family: Arial;""><span style=""font-size: 12.0px;""><br />Opening the bowling for Ballinger## Fin Clark was in danger of ending the Chalfont challenge rather too quickly## with a double wicket maiden and then another wicket in his second over. &nbsp;He bowled quick## full and straight and was just too good for them. &nbsp;He had to be taken off. &nbsp;But the others continued to take wickets## Ollie Hardman and Will Fennell with their medium pace and Monty Weatherall with his legspin## so that &nbsp;wickets continued to fall steadily and Chalfont never looked like getting anywhere near our total. &nbsp;</span></span></p> <p><span style=""font-family: Arial;""><span style=""font-size: 12.0px;"">Taylor Levitt bowled some good offspin and was unlucky not to get a wicket. &nbsp;Joe Turrell was finally allowed to bowl his excellent slow left arm at the end and was just too good for them## giving away a miserly one run off 2 overs. &nbsp;Thompson and Cooke were not needed. &nbsp;They ended at 48 for 8. </span></span></p> <p><span style=""font-family: Arial;""><span style=""font-size: 12.0px;"">&nbsp;Pick of the bowlers: Fin Clark with 4 overs## 2 maidens## 3 wickets for 2 runs. &nbsp;The lesson for all: &nbsp;bowl full and straight.<br /></span></span></p> <p><span style=""font-family: Arial;""><span style=""font-size: 12.0px;"">Most importantly it was a very good fielding performance## with all catches taken &ndash; including a wonderful reflex catch by Zac off a no-ball## and good tidy ground fielding throughout. &nbsp;Marcus Tingey too was very tidy and enthusiastic behind the stumps. &nbsp;We shall need those skills when we play stronger teams now that we have progressed.<br /></span></span></p> <p><span style=""font-family: Arial;""><span style=""font-size: 12.0px;"">Well done everyone.<br />&nbsp;&nbsp;<br /></span></span><!--EndFragment--></p>",,2011-05-11
755,"<p>With skipper Davies away (basking in Barcelona)## Ian Maciver## deputising## had little hesitation having won the toss in choosing to bat on a perfect wicket that looked full of runs. Matt Riley (on free loan from Eymet Club de Cricket## Dordogne) and Paul Humphreys gave Ballinger a good start## posting 91 by the 20th over## but thereafter none of the batsmen could really get on top of&nbsp;accurate bowling backed up by athletic fielding (regrettably to an endless chorus of ""shabash##shabash""). Two uneccessary run-outs didn't help. Nick Adams came in early to clout 12 off 5 balls## and Carlton Siddle batted well (again) ## holding the tail togther. Carlton and Ian Maciver produced a flurry of runs (19) in the 44th over## to raise a total of 213 -9## which was satisfying## but on such a wicket## a far from unbeatable score.</p> <p>Cadmore End were soon scoring well## but 4 wickets were down for 76## and Ballinger seemed to have the match in hand. However## their catching was fallible - 5 chances went down - and some loose bowling let Cadmore End back into the game and a partnership of 87 for the 5th wicket ensued. Ballinger were denied a run-out by their own umpire being badly positioned (but## being gentlemen## only reminded him of this half a dozen times thereafter). Ian Maciver then brought himself into the attack## and with the later Cadmore End batsmen unable to keep up with the run-rate## finished with 4 for 44## as BWCC wrapped up the match in the final over## a match which in truth they should have won much more convincingly.</p> <p>For the second week running## two junior players were brought into the team## due to absence of seniors## and once again acquitted themselves really well in the the field - a credit to the club's junior section and their coaches.</p>",,2011-05-15
